title,link,description,bloggername,bloggerlink,postdate
로시의 월간일기 | 2026년 1월 | 인사발령이란 뭘까 | 크로스핏... ,https://blog.naver.com/rothydaily/224214388962,덕이에요 렉스트림을 갔어요!! 1회 경험자^^ 물론 관객으로… 언니들 스타일리스트로 감ㅋㅋ 헤어... 렉스트림 끝내고 송이네 가서 오리주물럭! 여기 왜이리 맛있어… 지수언니 너무 웃김ㅋㅋ 머리 풀려 집중... ,Rothy’s Daily,blog.naver.com/rothydaily,20260312
[우당탕탕탕 크로스핏.]-1월. 2026년을 시작합니다. 편.,https://blog.naver.com/jbr0704/224206613756,라이노 체고최고쵝5~~~~~~ 기억에 남을 영상들~~ 아 렉스트림 사진 너무 잘 찍어주시는대요? 채영 구출작전! 채영으로 인해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 영선님은 신이 났다고 한다. (누구라도 즐거웠으면 됐지. 웅.... ,호잇,blog.naver.com/jbr0704,20260306
해피한 에듀케이터,https://blog.naver.com/photo_jt/224205880087,다음날 렉스트림 대회 있어서 잠실에서 잤다! 1/24 전날 동쌤이 사먹고 냄겨준 두바이와플 대회... 진짜 렉스트림 감동만 남았던 대회 쨌든 솥밥 먹구 상아가 사주는 커피 먹구 잠실 넘어와서 닭갈비 묵었다 ㅎㅎ... ,(정)답없음,blog.naver.com/photo_jt,20260305
26.1 크로스핏 OPEN 룰 및 꿀팁,https://blog.naver.com/crossfitrnl_su/224202351094,크로스핏추천 #크로스핏후기 #크로스핏체험 #하이록스 트레이닝 #크로스핏일상 #헬스운동 #체력운동 #다이어트운동 #하이록스 #런앤리프트 태릉#런앤리프트#렉스트림 #먹골크로스핏 #태릉크로스핏,⠀⠀,blog.naver.com/crossfitrnl_su,20260303
"한남동PT, 현직 트레이너의 하이브리드 레이스 '렉스트림... ",https://blog.naver.com/juhodang2/224189325202,"이번에 로케트배터리에서 한국형 하이록스인 렉스트림(Rextreme)을 개최했습니다. 하이록스와 다른... 한남동PT, 파프짐 한남점 정의성 매니저 하이브리드 레이스 렉스트림(Rextreme) 종목에 대해서 간단히... ",파프짐 공식 2호 블로그,blog.naver.com/juhodang2,20260220
"달리기빠진 하이록스, 26 렉스트림 레이스 선수 &amp; 저지 꿀팁",https://blog.naver.com/forsythia12/224187322306,물론 올해 인천도 신청했지만..ㅎㅎ '렉스트림 레이스' 지구력과 정신력을 테스트 할 수 있는 6가지... 정말 빵빵했던 키트  [공통 키트 물품] - 렉스트림 리유저블 백 - 렉스트림 스포츠 타월 - 로케트... ,good enough,blog.naver.com/forsythia12,20260218
Yㅖ 저 왔습니다,https://blog.naver.com/dbswjd4758/224183528362,은서랑 주토피아 보다가 새해 맞음요 25년 마지막날에 그냥 가챠만 ㅈㄴ한 여자들됨 처음으로 유산소를 곁들인 대회를 나가줬습니다 렉스트림이라고 로케트배터리 회사에서 만든 하이브리드 대회랍죠 진짜... ,내가 보는 일기장,blog.naver.com/dbswjd4758,20260214
단대오거리역 PT] 한별쌤의 2026년 렉스트림 첫 대회 출전 후기,https://blog.naver.com/famosgym2/224179999893,"(속닥속닥) 제가 처음으로 렉스트림(REXTREME) 대회에 출전한 날이에요! &quot;Rextreme&quot; (ROCKET BATTERY EXTREME RACE)... 렉스트림 대회는 국내에서 열리는 하이록스 스타일의 피트니스 대회이고, 하이록스(러닝 + 기능성... ",파모스짐 단대오거리역점,blog.naver.com/famosgym2,20260211
"수유,태릉에 설날 연휴 3일 내내  운동할 수 있는 곳이 있다고 ?",https://blog.naver.com/crossfitrnl_su/224179871100,크로스핏추천 #크로스핏후기 #크로스핏체험 #하이록스 트레이닝 #크로스핏일상 #헬스운동 #체력운동 #다이어트운동 #하이록스 #런앤리프트 태릉#런앤리프트#렉스트림 #먹골크로스핏 #태릉크로스핏,⠀⠀,blog.naver.com/crossfitrnl_su,20260211
2026. 01 일상 덤프,https://blog.naver.com/e5180419/224172513803,"오전에 운동하고, 렉스트림 연습 후 민석, 어코치님 렉스트림 멤버들과 돈까스 먹었다- 먹으면서 들은 썰. 어코치님 여기 주3회 간다고.. ꉂ︎ 1월 19일 주원생일~ 다같이 주원생일기념 와드 했다. 와드 내가... ","제인이의 운동, 맛집 그리고 일상",blog.naver.com/e5180419,20260205
피트니스 레이싱경기 렉스트림 [크로스핏 빅풋 장안점],https://blog.naver.com/crossfitbigfoot/224172050575,경기 렉스트림에 참여했습니다 티켓을 지원해준 천칼클럽 덕분에 짧은 준비기간이었지만 멤버들과 함께 준비하며 참여했어요 1월 말부터 다녀온 하이록스 경기를 위해 준비도 할겸 참여한 렉스트림경기입... ,크로스핏 빅풋 장안점,blog.naver.com/crossfitbigfoot,20260205
렉스트림(Rextreme) 대회 후기✅,https://blog.naver.com/crossfitrnl_su/224171320070,"크로스핏 알앤엘, 렉스트림 대회 참가 후기 결과보다 값졌던 하루 회원들보다 먼저, 코치가 먼저 뛰었습니다 이번 렉스트림 대회에는 수유 크로스핏 알앤엘 코치 3명이 참가했습니다. 이번 대회에는 회원분들... ",⠀⠀,blog.naver.com/crossfitrnl_su,20260204
[용산PT] 한국판 하이록스 렉스트림(Rextreme) 개인전... ,https://blog.naver.com/fitmentor/224170475566,[용산 PT] 한국판 하이록스 렉스트림(Rextreme) 1회 개인전 꿀팁과 후기 안녕하세요. 용산 PT 프리미엄 스튜디오 파프짐의 매니저 정의성입니다. 1월 24일 로케트배터리에서 주최하는 한국판 하이록스! 렉스트림... ,근육둥이 정의성,blog.naver.com/fitmentor,20260204
1월 마무리 좋았뙇,https://blog.naver.com/zeungm1n/224170650452,체육관 신년회 있던 날. 퇴근 - 욱이 만나서 제품 수령 - 카페 꽤나 바쁘게 와랄라 돌아다닌 오후. 진짜 오랜만에 온 어포인트커피. 늘 올때마다 너무 정다운 아지트 느낌 늘 그대로 자리 지켜주시는 사장님... ,¿,blog.naver.com/zeungm1n,20260203
qhr 많이 받으세요,https://blog.naver.com/dayjisu/224170555971,새해 첫 주말에는 연탄봉사를 했어요~~ 손은 시려워도 마음은 따뜻했던 하루 개쩌는 보리굴비정식 아저씨만나면 보리굴비 데이트 해야돼 사람들이 여길 보사오라고 부르던데 렉스트림이라고 하이브리드... ,Bare Minimum Club,blog.naver.com/dayjisu,20260203
[광화문하이록스] 2026.02.04 (수) WOD,https://blog.naver.com/crossfitsuperbomb/224170333397,"국내에서는 렉스트림 / 하이브리드 파워 게임즈 가 열리고 있습니다. 기본적으로는 동작들도 비슷비슷합니다. 렉스트림 , 하이브리드 파워 게임즈에는 슬레드가 빠지고 덤벨스내치... ",광화문 유일 크로스핏 슈퍼밤,blog.naver.com/crossfitsuperbomb,20260203
[하이록스 훈련] 하이록스 훈련 1주차 week 1 훈련... ,https://blog.naver.com/ohj2962/224170122562,하면서 함다 시훈이랑 기겁함 근데 사실 나 빼고 둘 다 너무 잘함 나만 잘하면 돼ㅠ (렉스트림 데자뷰가...) 아 그리고 한 명이 스키를 타는 동안 나머지 두 명은 이렇게 원판 들고 버티기를 합니다 얼른... ,련주의 하루,blog.naver.com/ohj2962,20260203
렉스트림 티켓 규칙 관람 후기,https://blog.naver.com/alonelee_/224169998908,이번에 렉스트림은 풍문으로 들으니 F45 관련 있는 분이 직접 개최했다는 말이 있었어요. 그래서 그런지 대회 MC를 맡은 분들이 F45와 관련 있는 분들이 진행을 맡아서 하더라고요. [렉스트림 경기 소개]... ,운동하는 비하이,blog.naver.com/alonelee_,20260203
다양한 프로그램 ! 재밌는 다이어트 ! 태릉 런앤리프트 !,https://blog.naver.com/crossfitrnl_su/224168518138,"앞으로 자주 인사드리겠습니다  이번 주 블로그 이야기입니다  저번 주에는 렉스트림 대회 후기를 다뤘었는데요, 생각보다 많은 회원분들께서 “렉스트림 대회가 어떤 대회예요?” 하고... ",⠀⠀,blog.naver.com/crossfitrnl_su,20260202
0119-0125 : 처음 대회 나가본 크린이의 운동 일기 (+렉스트림... ,https://blog.naver.com/ryu_min_312/224168125789,안 올 줄 알았던 렉스트림 대회가 성큼 다가왔다 대회 연습 한 번 해보고 그냥 꾸준히 크로스핏 했다!... 1/23 대회 전날 휴식 1/24 기다리고 기다리던 렉스트림 대회! 우리는 5시 20분 스타트여서 낮에 푹 자고... ,류민의 쉬는시간,blog.naver.com/ryu_min_312,20260202
[광화문크로스핏] 2026.02.02 (월) WOD,https://blog.naver.com/crossfitsuperbomb/224167761676,WOD / RECORD(와드댓글) : www.crossfitsuperbomb.com 인스타그램: @crossfitsuperbomb 운동영상: @superbomb_archive CrossFit AMRAP 4MIN -Max pull up (Strict / Kipping / Butterfly) . . *4분동안 턱걸이를 최대한 많이... ,광화문 유일 크로스핏 슈퍼밤,blog.naver.com/crossfitsuperbomb,20260201
[일상] 26년 1월의 기록 | 먹고 운동하고 또 먹는 겨울 일상... ,https://blog.naver.com/journey_uu/224167606056,"재질도 얇고 찰랑찰랑해서 땀이 금방 마를 것 같았음 코치님이 렉스트림 1등도 하셨더라고요?! 하이록스 플래그도 있었어요! 싱기방기 운동하는 공간은 다른 분들이 많아서 사진 패쓰,,, 근데,,, 화이트보드에... ",ㅇUㅇ 일상 기록,blog.naver.com/journey_uu,20260201
로케트배터리 익스트림 레이스 렉스트림 4인 혼성팀전 참가 후기,https://blog.naver.com/yusoom_log/224167555944,2026년 1월 24일 토요일 일산 킨텍스에서 열린 렉스트림 대회에 다녀왔다! 저는 4인혼성팀전으로... 저는 이번 렉스트림 4인조에서 스키를 맡게된 막내로 스키에르그 타면서 몸 풀기 완료. 우리 팀 카이론 몸풀기... ,유쑴로그,blog.naver.com/yusoom_log,20260201
[2026 REXTREME]피트니스 레이스 참가 후기,https://blog.naver.com/70w1n/224167334830,"그 와중에 세방전지(로케트배터리)가 주최하는 하이브리드 피트니스 레이스 REXTREME(렉스트림)을 알게 되었고, 망설임 없이 도전해 보고자 참가하게 되었습니다. REXTREME 대회 소개 렉스트림(REXTREME)은... ",7raining 0ltre Winning,blog.naver.com/70w1n,20260201
뭐했다고 벌써 1월이 다 지나갔는고,https://blog.naver.com/joliej92/224166934051,나름 렉스트림 준비한다구 살 빠지지 말자고(ㅋㅋㅋㅋㅋㅋㅋ) 친구들과 다짐했기 때문에 열심히... 우리의 렉스트림 단체티 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 솔직히 대회날 우리 단체티가 젤 귀여웠다 원래는... ,인생 아카이빙,blog.naver.com/joliej92,20260131
포토월대여 일산킨텍스 렉스트림대회 트러스 응급센터부스 제작,https://blog.naver.com/rental-free_/224165490261,오늘은 일산 킨텍스에서 진행된 렉스트림(REXTREME) 대회에서 활용하기 위해 트러스구조물로 제작된... 렉스트림은 크로스핏을 기반으로 한 팀중심의 기능성 피트니스 대회라고 하는데요. 부상자를 위한... ,렌탈프리 - 행사용품대여 렌탈전문업체,blog.naver.com/rental-free_,20260130
렉스트림 피트니스 레이스 혼성 참가 후기ㅣ렉스트림이란?... ,https://blog.naver.com/ohj2962/224165097147,"오늘은 최근에 제가 참가한 렉스트림(Rextreme) 피트니스 대회 후기를 써보려고 합니다 저는 4인 혼성 팀전으로 참가했어요! 렉스트림(Rextreme)이란, 크로스핏 기반 피트니스 대회로 웨이트 + 기능성 운동이 결합된... ",련주의 하루,blog.naver.com/ohj2962,20260130
